title,chars,source_path
2024-fraud-insights-report,4063,data/scraped_results/2024-fraud-insights-report.md
aba-survey-u-s-consumers-rank-banks-above-other-industries-for-fraud-protection,3668,data/scraped_results/aba-survey-u-s-consumers-rank-banks-above-other-industries-for-fraud-protection.md
bank-survey-businesses-report-losing-millions-to-cyber-fraud,3025,data/scraped_results/bank-survey-businesses-report-losing-millions-to-cyber-fraud.md
fed-survey-most-fraud-losses-attributable-to-debit-card-check-fraud,2917,data/scraped_results/fed-survey-most-fraud-losses-attributable-to-debit-card-check-fraud.md
fighting-fraud-on-the-frontline,11159,data/scraped_results/fighting-fraud-on-the-frontline.md
fraud-prevention-when-the-customer-isnt-always-right,5341,data/scraped_results/fraud-prevention-when-the-customer-isnt-always-right.md
fraud-watch-the-value-of-a-multipronged-strategy,6419,data/scraped_results/fraud-watch-the-value-of-a-multipronged-strategy.md
staying-ahead-of-criminals-to-protect-atms,3758,data/scraped_results/staying-ahead-of-criminals-to-protect-atms.md
study-customer-loyalty-increases-when-banks-resolve-fraud,3229,data/scraped_results/study-customer-loyalty-increases-when-banks-resolve-fraud.md
survey-finds-u-s-consumers-trust-banks-over-other-industries-for-fraud-protection,2499,data/scraped_results/survey-finds-u-s-consumers-trust-banks-over-other-industries-for-fraud-protection.md
